Species	flagellar_proteins	No_of_proteins
Acidovorax sp. YS12 	flgA,flgC,flgD,flgE,flgF,flgG,flgH,flgI,flgJ,flgK,flgL,flgM,flgO,flgT,flhA,flhB,flhC,flhD,fliA,fliC,fliD,fliE,fliF,fliG,fliH,fliI,fliJ,fliK,fliL,fliM,fliN,fliO,fliP,fliQ,fliR,fliS,fliT,fliY,flrA,flrC,motA,motB,motX,motY,rpoD,rpoN	46
Aciduliprofundum boonei T469 	fliI,fliY,flrA,flrC,motX	5
Aciduliprofundum sp. MAR08-339 	fliI,fliY,flrA,flrC,motX	5
Acinetobacter baumannii 10_3 	flgD,flgT,fliA,fliH,fliI,fliY,flrA,flrC,motA,motB,motX,motY,rpoD,rpoN	14
Acinetobacter baumannii 1656-2 	flgD,flgT,fliA,fliH,fliI,fliY,flrA,flrC,motA,motB,motX,motY,rpoD,rpoN	14
Acinetobacter baumannii AB0057 	flgT,fliA,fliH,fliI,fliY,flrA,flrC,motA,motB,motX,motY,rpoD,rpoN	13
Acinetobacter baumannii AB07 	fliA,fliH,fliI,fliY,flrA,flrC,motA,motB,motX,motY,rpoD,rpoN	12
Acinetobacter baumannii AB307-0294 	flgT,fliA,fliH,fliI,fliY,flrA,flrC,motA,motB,motX,motY,rpoD,rpoN	13
Acinetobacter baumannii ACICU 	flgT,fliA,fliH,fliI,fliY,flrA,flrC,motA,motB,motX,motY,rpoD,rpoN	13
Acinetobacter baumannii ATCC 17978 	flgT,fliA,fliH,fliI,fliY,flrA,flrC,motA,motB,motX,motY,rpoD,rpoN	13
Acinetobacter baumannii ATCC 19606 = CIP 70.34 = JCM 6841 	flgD,flgT,fliA,fliH,fliI,fliY,flrA,flrC,motA,motB,motX,motY,rpoD,rpoN	14
Acinetobacter baumannii AYE 	flgT,fliA,fliH,fliI,fliY,flrA,flrC,motA,motB,motX,motY,rpoD,rpoN	13
Acinetobacter baumannii BJAB07104 	flgD,flgT,fliA,fliH,fliI,fliY,flrA,flrC,motA,motB,motX,motY,rpoD,rpoN	14
Acinetobacter baumannii BJAB0715 	flgT,fliA,fliH,fliI,fliY,flrA,flrC,motA,motB,motX,motY,rpoD,rpoN	13
Acinetobacter baumannii BJAB0868 	flgD,flgT,fliA,fliH,fliI,fliY,flrA,flrC,motA,motB,motX,motY,rpoD,rpoN	14
Acinetobacter baumannii LAC-4 	fliA,fliH,fliI,fliY,flrA,flrC,motA,motB,motX,motY,rpoD,rpoN	12
Acinetobacter baumannii MDR-ZJ06 	flgT,fliA,fliH,fliI,fliY,flrA,flrC,motA,motB,motX,motY,rpoD,rpoN	13
Acinetobacter baumannii NCGM 237 	flgD,flgT,fliA,fliH,fliI,fliY,flrA,flrC,motA,motX,motY,rpoD,rpoN	13
Acinetobacter baumannii SDF 	flgT,fliA,fliH,fliI,fliY,flrA,flrC,motA,motB,motX,motY,rpoD,rpoN	13
Acinetobacter baumannii TCDC-AB0715 	flgD,flgT,fliA,fliH,fliI,fliY,flrA,flrC,motA,motB,motX,motY,rpoD,rpoN	14
Acinetobacter baumannii TYTH-1 	flgD,flgT,fliA,fliH,fliI,fliY,flrA,flrC,motA,motB,motX,motY,rpoD,rpoN	14
Acinetobacter baumannii ZW85-1 	flgT,fliA,fliH,fliI,fliY,flrA,flrC,motA,motX,motY,rpoD,rpoN	12
Acinetobacter bereziniae strain GD03185 	flgT,fliA,fliH,fliI,fliY,flrA,flrC,motA,motB,motX,motY,rpoD,rpoN	13
Acinetobacter bouvetii strain JCM 18991 	flgD,flgT,fliA,fliH,fliI,fliY,flrA,flrC,motA,motB,motX,motY,rpoD,rpoN	14
Acinetobacter calcoaceticus ACa13 	flgD,flgT,fliA,fliH,fliI,fliY,flrA,flrC,motA,motB,motX,motY,rpoD,rpoN	14
Acinetobacter calcoaceticus PHEA-2 	flgD,flgT,fliA,fliH,fliI,fliY,flrA,flrC,motA,motB,motX,motY,rpoD,rpoN	14
Acinetobacter dispersus strain NCCP 16014 	flgD,flgT,fliA,fliH,fliI,fliY,flrA,flrC,motA,motB,motX,motY,rpoD,rpoN	14
Acinetobacter guillouiae PgBE136 	flgD,flgT,fliA,fliH,fliI,fliY,flrA,flrC,motA,motX,motY,rpoD,rpoN	13
Acinetobacter gyllenbergii strain NCCP 16015 	flgT,fliA,fliH,fliI,fliY,flrA,flrC,motA,motB,motX,motY,rpoD,rpoN	13
Acinetobacter haemolyticus strain 11616 	flgD,flgT,fliA,fliH,fliI,fliY,flrA,flrC,motA,motX,motY,rpoD,rpoN	13
Acinetobacter indicus BDT201 	flgT,fliA,fliH,fliI,fliY,flrA,flrC,motA,motB,motX,motY,rpoD,rpoN	13
Acinetobacter johnsonii AJ14 	flgT,fliA,fliH,fliI,fliY,flrA,flrC,motA,motB,motX,motY,rpoD,rpoN	13
Acinetobacter johnsonii XBB1 	flgT,fliA,fliH,fliI,fliY,flrA,flrC,motA,motB,motX,motY,rpoD,rpoN	13
Acinetobacter junii A2-1 	flgD,flgT,fliA,fliH,fliI,fliY,flrA,flrC,motA,motB,motX,motY,rpoD,rpoN	14
Acinetobacter lactucae strain OTEC-02 	flgP,flgT,fliA,fliI,fliY,flrA,flrC,motA,motX,motY,rpoD,rpoN	12
Acinetobacter lwoffii EK30A 	flgT,fliA,fliH,fliI,fliY,flrA,flrC,motA,motX,motY,rpoD,rpoN	12
Acinetobacter nosocomialis strain 6411 	flgT,fliA,fliH,fliI,fliY,flrA,flrC,motA,motX,motY,rpoD,rpoN	12
Acinetobacter oleivorans DR1 	flgD,flgT,fliA,fliH,fliI,fliY,flrA,flrC,motA,motB,motX,motY,rpoD,rpoN	14
Acinetobacter piscicola strain YH12207_T 	flgO,flgT,fliA,fliH,fliI,fliY,flrA,flrC,motA,motB,motX,motY,rpoD,rpoN	14
Acinetobacter pittii 32292 	flgT,fliA,fliH,fliI,fliY,flrA,flrC,motA,motX,motY,rpoD,rpoN	12
Acinetobacter pseudolwoffii XMC5X702 	flgT,fliA,fliI,fliY,flrA,flrC,motA,motB,motX,motY,rpoD,rpoN	12
Acinetobacter radioresistens strain DD78 	flgD,flgT,fliA,fliH,fliI,fliY,flrA,flrC,motA,motB,motX,motY,rpoD,rpoN	14
Acinetobacter schindleri BDT2091 	flgT,fliA,fliH,fliI,fliY,flrA,flrC,motA,motB,motX,motY,rpoD,rpoN	13
Acinetobacter seifertii strain AS11 	flgT,fliA,fliH,fliI,fliY,flrA,flrC,motA,motB,motX,motY,rpoD,rpoN	13
Acinetobacter septicus strain FDAARGOS_1401 strain Not applicable 	flgD,flgT,fliA,fliH,fliI,fliY,flrA,flrC,motA,motB,motX,motY,rpoD,rpoN	14
Acinetobacter soli strain GFJ2 	flgT,fliA,fliH,fliI,fliY,flrA,flrC,motA,motB,motX,motY,rpoD,rpoN	13
Acinetobacter sp. 10FS3-1 	flgT,fliA,fliI,fliY,flrA,flrC,motA,motB,motX,motY,rpoD,rpoN	12
Acinetobacter sp. 114 	flgD,flgT,fliA,fliH,fliI,fliY,flrA,flrC,motA,motX,motY,rpoD,rpoN	13
Acinetobacter sp. 185 	flgD,flgT,fliA,fliI,fliY,flrA,flrC,motA,motB,motX,motY,rpoD,rpoN	13
Acinetobacter sp. 323-1 	flgD,flgT,fliA,fliH,fliI,fliY,flrA,flrC,motA,motB,motX,motY,rpoD,rpoN	14
Acinetobacter sp. Ac-14 	flgP,flgT,fliA,fliH,fliI,fliY,flrA,flrC,motA,motB,motX,motY,rpoD,rpoN	14
Acinetobacter sp. ACNIH1 	flgT,fliA,fliH,fliI,fliY,flrA,flrC,motA,motB,motX,motY,rpoD,rpoN	13
Acinetobacter sp. ACNIH2 	flgT,fliA,fliI,fliY,flrA,flrC,motA,motX,motY,rpoD,rpoN	11
Acinetobacter sp. ADP1 	flgT,fliA,fliI,fliY,flrA,flrC,motA,motX,motY,rpoD,rpoN	11
Acinetobacter sp. BHS4 	flgT,fliA,fliI,fliY,flrA,flrC,motA,motX,motY,rpoD,rpoN	11
Acinetobacter sp. BRTC-1 	flgT,fliA,fliI,fliY,flrA,flrC,motA,motB,motX,motY,rpoD,rpoN	12
Acinetobacter sp. C16S1 	flgD,flgT,fliA,fliI,fliY,flrA,flrC,motA,motX,motY,rpoD,rpoN	12
Acinetobacter sp. Colony158 	flgD,flgT,fliA,fliG,fliI,fliY,flrA,flrC,motA,motX,motY,rpoD,rpoN	13
Acinetobacter sp. CS-2 	flgT,fliA,fliI,fliY,flrA,flrC,motA,motB,motX,motY,rpoD,rpoN	12
Acinetobacter sp. dk386 	flgT,fliA,fliH,fliI,fliY,flrA,flrC,motA,motB,motX,motY,rpoD,rpoN	13
Acinetobacter sp. DUT-2 	flgP,flgT,fliA,fliI,fliY,flrA,flrC,motA,motX,motY,rpoD,rpoN	12
Acinetobacter sp. F9 	flgT,fliA,fliI,fliY,flrA,flrC,motA,motB,motX,motY,rpoD,rpoN	12
Acinetobacter sp. FDAARGOS_493 strain Not applicable 	flgD,flgT,fliA,fliI,fliY,flrA,flrC,motA,motB,motX,motY,rpoD,rpoN	13
Acinetobacter sp. FDAARGOS_494 strain Not applicable 	flgD,flgT,fliA,fliI,fliY,flrA,flrC,motA,motB,motX,motY,rpoD,rpoN	13
Acinetobacter sp. FDAARGOS_560 strain Not applicable 	flgD,flgT,fliA,fliI,fliY,flrA,flrC,motA,motB,motX,motY,rpoD,rpoN	13
Acinetobacter sp. FDAARGOS_724 	flgT,fliA,fliI,fliY,flrA,flrC,motA,motB,motX,motY,rpoD,rpoN	12
Acinetobacter sp. LoGeW2-3 	flgT,fliA,fliI,fliY,flrA,flrC,motA,motX,motY,rpoD,rpoN	11
Acinetobacter sp. Marseille-Q1620 	flgP,flgT,fliA,fliH,fliI,fliY,flrA,flrC,motA,motB,motX,motY,rpoD,rpoN	14
Acinetobacter sp. NCu2D-2 	flgD,fliA,fliH,fliI,fliY,flrA,flrC,motA,motB,motX,motY,rpoD,rpoN	13
Acinetobacter sp. NEB149 	flgT,fliA,fliH,fliI,fliY,flrA,flrC,motA,motB,motX,motY,rpoD,rpoN	13
Acinetobacter sp. NEB 394 	flgT,fliA,fliH,fliI,fliY,flrA,flrC,motA,motB,motX,motY,rpoD,rpoN	13
Acinetobacter sp. SWBY1 	flgT,fliA,fliI,fliY,flrA,flrC,motA,motB,motX,motY,rpoD,rpoN	12
Acinetobacter sp. TGL-Y2 	flgD,flgJ,flgT,fliA,fliH,fliI,fliY,flrA,flrC,motA,motB,motX,motY,rpoD,rpoN	15
Acinetobacter sp. Tol 5 	flgT,fliA,fliH,fliI,fliY,flrA,flrC,motA,motB,motX,motY,rpoD,rpoN	13
Acinetobacter sp. TTH0-4 	flgT,fliA,fliH,fliI,fliY,flrA,flrC,motA,motB,motX,motY,rpoD,rpoN	13
Acinetobacter sp. WY4 	flgT,fliA,fliH,fliI,fliY,flrA,flrC,motA,motB,motX,motY,rpoD,rpoN	13
Acinetobacter sp. YH12138 strain YH12138_T 	flgT,fliA,fliI,fliY,flrA,flrC,motA,motX,motY,rpoD,rpoN	11
Acinetobacter tandoii strain SE63 	flgD,flgT,fliA,fliH,fliI,fliY,flrA,flrC,motA,motX,motY,rpoD,rpoN	13
Acinetobacter towneri AT232 	flgT,fliA,fliH,fliI,fliY,flrA,flrC,motA,motB,motX,motY,rpoD,rpoN	13
Acinetobacter ursingii strain FDAARGOS_1095 strain Not applicable 	flgD,flgP,flgT,fliA,fliH,fliI,fliY,flrA,flrC,motA,motB,motX,motY,rpoD,rpoN	15
Acinetobacter variabilis BDT2044 	flgT,fliH,fliI,fliY,flrA,flrC,motA,motB,motX,motY,rpoD,rpoN	12
Acinetobacter venetianus strain TBCP-1051 	flgD,flgT,fliA,fliH,fliI,fliY,flrA,flrC,motA,motB,motX,motY,rpoD,rpoN	14
Acinetobacter venetianus VE-C3 	flgO,flgT,fliA,fliH,fliI,fliY,flrA,flrC,motA,motX,motY,rpoD,rpoN	13
Acinetobacter vivianii KJ-1 	flgT,fliA,fliI,fliY,flrA,flrC,motA,motX,motY,rpoD,rpoN	11
Actinoalloteichus hoggarensis strain DSM 45943 	flgA,flgD,fliA,fliH,fliI,fliY,flrA,flrC,motX,rpoD	10
Actinoalloteichus hymeniacidonis strain HPA177(T) (=DSM 45092(T)) 	flgA,fliA,fliH,fliI,fliL,fliY,flrA,flrC,motX,rpoD	10
Actinoalloteichus sp. ADI127-7 	flgA,flgD,fliA,fliH,fliI,fliY,flrA,flrC,motX,rpoD	10
Actinoalloteichus sp. AHMU CJ021 	flgA,flgD,fliA,fliH,fliI,fliY,flrA,flrC,motX,rpoD	10
Actinoalloteichus sp. GBA129-24 	flgA,flgD,fliA,fliH,fliI,fliY,flrA,flrC,motX,rpoD	10
Actinobacillus delphinicola strain NCTC12871 	flgT,fliA,fliI,fliY,flrA,flrC,motA,motX,motY,rpoD	10
Actinobacillus equuli strain NCTC8529 	flgI,flgT,fliA,fliI,fliY,flrA,flrC,motA,motX,motY,rpoD	11
Actinobacillus equuli subsp. equuli 19392 	flgT,fliA,fliI,fliY,flrA,flrC,motA,motX,motY,rpoD	10
Actinobacillus indolicus strain AIFJ1607 	fliA,fliI,fliY,flrA,flrC,motA,motX,motY,rpoD	9
Actinobacillus lignieresii strain NCTC10568 	flgI,fliA,fliI,fliY,flrA,flrC,motA,motY,rpoD	9
Actinobacillus pleuropneumoniae 16287-1 	flgI,flgT,fliA,fliI,fliY,flrA,flrC,motA,motY,rpoD	10
Actinobacillus pleuropneumoniae serovar 10 str. D13039 	flgI,flgT,fliA,fliH,fliI,fliY,flrA,flrC,motA,motX,motY,rpoD	12
Actinobacillus pleuropneumoniae serovar 11 str. 56153 	flgI,flgT,fliA,fliH,fliI,fliY,flrA,flrC,motA,motB,motX,motY,rpoD	13
Actinobacillus pleuropneumoniae serovar 2 str. S1536 	flgI,flgT,fliA,fliH,fliI,fliY,flrA,flrC,motA,motX,motY,rpoD	12
Actinobacillus pleuropneumoniae serovar 3 str. JL03 	flgT,fliA,fliI,fliY,flrA,flrC,motA,motX,motY,rpoD	10
Actinobacillus pleuropneumoniae serovar 4 str. M62 	flgI,flgT,fliA,fliH,fliI,fliY,flrA,flrC,motA,motX,motY,rpoD	12
Actinobacillus pleuropneumoniae serovar 5b str. L20 	flgT,fliA,fliI,fliY,flrA,flrC,motA,motX,motY,rpoD	10
Actinobacillus pleuropneumoniae serovar 6 str. Femo 	flgI,flgT,fliA,fliH,fliI,fliY,flrA,flrC,motA,motX,motY,rpoD	12
Actinobacillus pleuropneumoniae serovar 7 str. AP76 	flgT,fliA,fliI,fliY,flrA,flrC,motA,motX,motY,rpoD	10
Actinobacillus pleuropneumoniae serovar 8 	flgI,flgT,fliA,fliH,fliI,fliY,flrA,flrC,motA,motX,motY,rpoD	12
Actinobacillus pleuropneumoniae serovar 8 str. 405 	flgI,flgT,fliA,fliH,fliI,fliY,flrA,flrC,motA,motX,motY,rpoD	12
Actinobacillus pleuropneumoniae serovar 9 str. CVJ13261 	flgI,flgT,fliA,fliH,fliI,fliY,flrA,flrC,motA,motB,motX,motY,rpoD	13
Actinobacillus porcitonsillarum strain 9953L55 	flgT,fliA,fliI,fliY,flrA,flrC,motA,motX,motY,rpoD	10
Actinobacillus sp. GY-402 	fliA,fliI,fliY,flrA,flrC,motA,motX,motY,rpoD	9
Actinobacillus succinogenes 130Z 	fliA,fliI,fliY,flrA,flrC,motA,motX,motY,rpoD	9
Actinobacillus suis ATCC 33415 	flgI,fliA,fliH,fliI,fliY,flrA,flrC,motA,motY,rpoD	10
Actinobacillus suis H91-0380 	flgI,fliA,fliH,fliI,fliY,flrA,flrC,motA,motY,rpoD	10
Actinobacillus suis strain NCTC12996 	flgI,fliA,fliI,fliY,flrA,flrC,motA,motY,rpoD	9
Actinobacteria bacterium IMCC19121 	fliA,fliH,fliI,fliY,flrA,flrC,motY,rpoD	8
Actinobacteria bacterium IMCC25003 	flgA,fliA,fliH,fliI,fliY,flrA,flrC,rpoD	8
Actinobacteria bacterium IMCC26077 	fliA,fliH,fliI,fliY,flrA,flrC,rpoD	7
Actinobacteria bacterium IMCC26103 	flgA,fliA,fliH,fliI,fliY,flrA,flrC,motB,rpoD	9
Actinobacteria bacterium IMCC26256 	flgA,fliA,fliH,fliI,fliY,flrA,flrC,rpoD	8
Actinobacteria bacterium strain Kalu_18-Q3-R12-55_MAXAC.049_cln 	flgD,fliA,fliH,fliI,fliY,flrA,flrC,rpoD	8
Actinobacteria bacterium YIM 96077 	flgA,fliA,fliH,fliI,fliY,flrA,flrC,rpoD	8
Actinobaculum schaalii strain CCUG 27420 	flgA,flgD,fliA,fliI,fliY,flrA,flrC,rpoD	8
Actinocatenispora sera strain NBRC 101916 	fliA,fliH,fliI,fliY,flrA,flrC,motX,rpoD	8
Actinocatenispora thailandica strain NBRC 105041 	fliA,fliH,fliI,fliY,flrA,flrC,rpoD	7
Actinomadura amylolytica strain YIM 77502 	flgA,flgD,fliA,fliH,fliI,fliY,flrA,flrC,motB,motX,motY,rpoD	12
Actinomadura sp. 32-07 	flgA,flgD,fliA,fliG,fliH,fliI,fliY,flrA,flrC,motB,motX,motY,rpoD	13
Actinomadura sp. NAK00032 	flgA,flgD,fliA,fliH,fliI,fliY,flrA,flrC,motB,motX,motY,rpoD	12
Actinomadura sp. WMMA1423 	flgA,fliA,fliH,fliI,fliY,flrA,flrC,motX,motY,rpoD	10
Actinomadura sp. WMMB499 	flgA,fliA,fliI,fliY,flrA,flrC,motB,motY,rpoD	9
Actinomadura verrucosospora strain NRRL:B18236 	flgA,fliA,fliH,fliI,fliY,flrA,flrC,motB,motX,motY,rpoD	11
Actinomyces hongkongensis strain HKU8 	flgD,fliA,fliI,fliY,flrA,flrC,motY	7
Actinomyces howellii strain NCTC11636 	flgA,fliA,fliI,fliY,flrA,flrC,motB,motX,motY,rpoD	10
Actinomyces israelii strain NCTC12972 	flgA,fliA,fliI,fliY,flrA,flrC,motY,rpoD	8
Actinomyces meyeri strain W712 	fliA,fliI,fliY,flrA,flrC,motY,rpoD	7
Actinomyces naeslundii strain ATCC 27039 	flgA,fliA,fliI,fliY,flrA,flrC,motB,motX,motY,rpoD	10
Actinomyces oris strain FDAARGOS_1051 strain Not applicable 	flgA,fliA,fliH,fliI,fliY,flrA,flrC,motB,motX,motY,rpoD	11
Actinomyces radicidentis strain CCUG 36733 	fliA,fliI,fliY,flrA,flrC,motX,rpoD	7
Actinomyces radingae strain DSM 9169 	fliA,fliH,fliI,fliY,flrA,flrC,rpoD	7
Actinomyces slackii strain NCTC11923 	flgA,fliA,fliI,fliY,flrA,flrC,motB,motX,motY,rpoD	10
Actinomyces sp. 2129 	flgA,fliA,fliI,fliY,flrA,flrC,motX,motY,rpoD	9
Actinomyces sp. 299 	flgA,flgD,fliA,fliH,fliI,fliY,flrA,flrC,motX,motY,rpoD	11
Actinomyces sp. 410 strain feces 	flgA,fliA,fliG,fliH,fliI,fliY,flrA,flrC,motB,motX,motY,rpoD	12
Actinomyces sp. 432 	flgA,fliA,fliG,fliH,fliI,fliY,flrA,flrC,motB,motX,motY,rpoD	12
Actinomyces sp. Chiba101 	flgA,fliA,fliH,fliI,fliY,flrA,flrC,motB,motX,motY,rpoD	11
Actinomyces sp. dk561 	flgA,fliA,fliG,fliI,fliY,flrA,flrC,motB,motY,rpoD	10
Actinomyces sp. HMT 175 	flgA,flgD,fliA,fliH,fliI,fliY,flrA,flrC,motB,motY,rpoD	11
Actinomyces sp. HMT 897 	flgA,flgJ,fliA,fliH,fliI,fliY,flrA,flrC,motX,motY,rpoD	11
Actinomyces sp. Marseille-P2985 	fliA,fliI,fliY,flrA,flrC,motY,rpoD	7
Actinomyces sp. MAS-1 	flgA,flgD,fliA,fliI,fliY,flrA,flrC,motY,rpoD	9
Actinomyces sp. oral taxon 169 strain F0496 	flgA,fliA,fliH,fliI,fliY,flrA,flrC,motB,motX,motY,rpoD	11
Actinomyces sp. oral taxon 171 str. F0337 	flgA,fliA,fliH,fliI,fliY,flrA,flrC,motB,motX,motY,rpoD	11
Actinomyces sp. oral taxon 414 strain F0588 	flgA,fliA,fliH,fliI,fliY,flrA,flrC,motB,motX,motY,rpoD	11
Actinomyces sp. oral taxon 897 strain F0631 	flgA,fliA,fliI,fliL,fliY,flrA,flrC,motB,motY,rpoD	10
Actinomyces sp. pika_114 strain pika_114 	flgA,fliA,fliH,fliI,fliY,flrA,flrC,rpoD	8
Actinomyces sp. VUL4_3 	fliA,fliH,fliI,fliY,flrA,flrC,motY,rpoD	8
Actinomyces sp. Z16 	flgA,fliA,fliG,fliH,fliI,fliK,fliY,flrA,flrC,motX,motY,rpoD	12
Actinomyces sp. zg-325 	flgA,flgJ,fliA,fliH,fliI,fliY,flrA,flrC,motY,rpoD	10
Actinomyces sp. zg-993 	flgA,fliA,fliH,fliI,fliY,flrA,flrC,motY,rpoD	9
Actinomyces viscosus strain NCTC10951 	flgA,fliA,fliI,fliY,flrA,flrC,motB,motY,rpoD	9
Actinomyces weissii strain CCUG 61299 	fliA,fliI,fliY,flrA,flrC,motX,motY,rpoD	8
Actinomycetaceae bacterium zg-1166 	flgA,fliA,fliI,fliY,flrA,flrC,rpoD	7
Actinoplanes derwentensis strain DSM 43941 	flgA,flgB,flgC,flgD,flgE,flgJ,flgK,flgL,flgN,flhA,flhB,fliA,fliC,fliD,fliE,fliF,fliG,fliH,fliI,fliK,fliL,fliM,fliN,fliO,fliP,fliQ,fliR,fliS,fliY,flrA,flrC,motA,motB,motX,motY,rpoD	36
Actinoplanes friuliensis DSM 7358 	flgB,flgC,flgD,flgE,flgJ,flgK,flgL,flgN,flhA,flhB,fliA,fliC,fliD,fliE,fliF,fliG,fliH,fliI,fliK,fliL,fliM,fliN,fliO,fliP,fliQ,fliR,fliS,fliY,flrA,flrC,motA,motB,motY,rpoD	34
Actinoplanes ianthinogenes strain NBRC 13996 	flgB,flgC,flgD,flgE,flgJ,flgK,flgL,flgN,flhA,flhB,fliA,fliC,fliD,fliE,fliF,fliG,fliH,fliI,fliK,fliL,fliM,fliN,fliO,fliP,fliQ,fliR,fliS,fliY,flrA,flrC,motA,motB,motX,motY,rpoD	35
Actinoplanes missouriensis 431 	flgB,flgC,flgD,flgE,flgJ,flgK,flgL,flgN,flhA,flhB,fliA,fliC,fliD,fliE,fliF,fliG,fliH,fliI,fliJ,fliK,fliL,fliM,fliN,fliO,fliP,fliQ,fliR,fliS,fliY,flrA,flrC,motA,motB,motX,motY,rpoD	36
Actinoplanes sp. L3-i22 	flgA,flgB,flgC,flgD,flgE,flgJ,flgK,flgL,flgN,flhA,flhB,fliA,fliC,fliD,fliE,fliF,fliG,fliH,fliI,fliJ,fliK,fliL,fliM,fliN,fliO,fliP,fliQ,fliR,fliS,fliY,flrA,flrC,motA,motB,motX,motY,rpoD,rpoN	38
Actinoplanes sp. N902-109 	flgB,flgC,flgD,flgE,flgJ,flgK,flgL,flgN,flhA,flhB,fliA,fliC,fliD,fliE,fliF,fliG,fliH,fliI,fliK,fliL,fliM,fliN,fliO,fliP,fliQ,fliR,fliS,fliY,flrA,flrC,motA,motB,motX,motY,rpoD	35
Actinoplanes sp. NBRC 14428 	flgC,flgD,flgE,flgJ,flgK,flgL,flgN,flhA,flhB,fliA,fliC,fliD,fliE,fliF,fliG,fliH,fliI,fliK,fliL,fliM,fliN,fliO,fliP,fliQ,fliR,fliS,fliY,flrA,flrC,motA,motB,motX,motY,rpoD	34
Actinoplanes sp. OR16 	flgB,flgC,flgD,flgE,flgJ,flgK,flgL,flgN,flhA,flhB,fliA,fliC,fliE,fliF,fliG,fliH,fliI,fliK,fliL,fliM,fliN,fliO,fliP,fliQ,fliR,fliS,fliY,flrA,flrC,motA,motB,motX,rpoD	33
Actinoplanes sp. SE50/110 	flgA,flgB,flgC,flgD,flgE,flgJ,flgK,flgL,flgN,flhA,flhB,fliA,fliC,fliD,fliE,fliF,fliG,fliH,fliI,fliK,fliL,fliM,fliN,fliO,fliP,fliQ,fliR,fliS,fliY,flrA,flrC,motA,motB,motX,rpoD	35
Actinoplanes sp. SE50 	flgB,flgC,flgD,flgE,flgJ,flgK,flgL,flgN,flhA,flhB,fliA,fliC,fliD,fliE,fliF,fliG,fliH,fliI,fliJ,fliK,fliL,fliM,fliN,fliO,fliP,fliQ,fliR,fliS,fliY,flrA,flrC,motA,motB,motX,rpoD	35
Actinoplanes teichomyceticus ATCC 31121 	flgB,flgC,flgD,flgE,flgJ,flgK,flgL,flgN,flhA,flhB,fliA,fliC,fliD,fliE,fliF,fliG,fliH,fliI,fliJ,fliK,fliL,fliM,fliN,fliO,fliP,fliQ,fliR,fliS,fliY,flrA,flrC,motA,motB,motX,rpoD	35
Actinopolymorpha singaporensis strain DSM 22024 	flgA,fliA,fliH,fliI,fliK,fliY,flrA,flrC,motX,rpoD	10
Actinopolyspora erythraea strain YIM 90600 	flgA,fliA,fliH,fliI,fliY,flrA,flrC,rpoD	8
Actinosynnema mirum DSM 43827 	flgA,flgB,flgC,flgD,flgE,flgK,flgL,flgN,flhA,flhB,fliA,fliC,fliD,fliE,fliF,fliG,fliH,fliI,fliK,fliL,fliM,fliN,fliO,fliP,fliQ,fliR,fliS,fliY,flrA,flrC,motA,motB,motX,motY,rpoD	35
Actinosynnema pretiosum strain X47 	flgA,flgB,flgC,flgD,flgE,flgK,flgL,flgN,flhA,flhB,fliA,fliC,fliD,fliE,fliF,fliG,fliH,fliI,fliJ,fliK,fliL,fliM,fliN,fliO,fliP,fliQ,fliR,fliS,fliY,flrA,flrC,motA,motB,rpoD	34
Actinosynnema pretiosum subsp. pretiosum strain ATCC 31280 	flgA,flgB,flgC,flgD,flgE,flgK,flgL,flgN,flhA,flhB,fliA,fliC,fliD,fliE,fliF,fliG,fliH,fliI,fliK,fliL,fliM,fliN,fliO,fliP,fliQ,fliR,fliS,fliY,flrA,flrC,motA,motB,rpoD	33
Actinotalea sp. JY-7876 	flgA,flgB,flgC,flgD,flgE,flgK,flgL,flgN,flhA,flhB,fliA,fliC,fliD,fliE,fliF,fliG,fliH,fliI,fliK,fliL,fliM,fliN,fliO,fliP,fliQ,fliR,fliS,fliY,flrA,flrC,motA,motB,motY,rpoD	34
Actinotignum sp. 313 	flgA,fliA,fliH,fliI,fliY,flrA,flrC,motY,rpoD	9
Acutalibacter muris strain KB18 	flgC,flgD,flgE,flgF,flgG,flgK,flgL,flgM,flgN,flhA,flhB,fliA,fliC,fliD,fliE,fliF,fliG,fliH,fliI,fliJ,fliK,fliM,fliN,fliO,fliP,fliQ,fliR,fliS,fliY,flrA,flrC,motA,motB,motX,rpoD	35
Adhaeribacter sp. KUDC8001 	flgD,fliA,fliH,fliI,fliM,fliN,fliY,flrA,flrC,motA,motB,motX,motY,rpoD,rpoN	15
Adhaeribacter swui strain KCTC 52873 	flgD,fliA,fliG,fliH,fliI,fliM,fliY,flrA,flrC,motA,motB,motX,motY,rpoD,rpoN	15
Adlercreutzia equolifaciens DSM 19450 	flgA,flgJ,fliA,fliH,fliI,fliY,flrA,flrC,motX,rpoD	10
Adlercreutzia sp. 8CFCBH1 	flgA,flgJ,flhC,fliA,fliH,fliI,fliY,flrA,flrC,motX,rpoD	11
Advenella mimigardefordensis DPN7 	flhA,flhB,fliA,fliF,fliH,fliI,fliN,fliP,fliQ,fliR,fliY,flrA,flrC,motA,motB,motY,rpoD,rpoN	18
Aequorivita sp. H23M31 	flgD,flgJ,fliA,fliG,fliH,fliI,fliY,flrA,flrC,motA,motB,motX,motY,rpoD,rpoN	15
Aequorivita sp. KX20305 	flgJ,flgT,fliA,fliH,fliI,fliY,flrA,flrC,motA,motB,motY,rpoD,rpoN	13
